names,home_games,home_wins,home_losses,home_ties,home_goals,home_against,home_win_rate,home_avg_goals,away_games,away_wins,away_losses,away_ties,away_goals,away_against,away_win_rate,away_avg_goals
France,31,19,6,6,68,31,0.6129032258064516,2.193548387096774,30,10,14,6,40,41,0.3333333333333333,1.3333333333333333
USA,15,6,7,2,19,21,0.4,1.2666666666666666,19,2,13,4,19,43,0.10526315789473684,1
Yugoslavia,17,13,1,3,42,9,0.7647058823529411,2.4705882352941178,20,3,12,5,18,37,0.15,0.9
Romania,9,5,2,2,15,13,0.5555555555555556,1.6666666666666667,12,3,6,3,15,19,0.25,1.25
Argentina,54,41,8,5,111,44,0.7592592592592593,2.0555555555555554,27,3,14,10,22,41,0.1111111111111111,0.8148148148148148
Chile,14,9,2,3,25,11,0.6428571428571429,1.7857142857142858,20,2,13,5,16,39,0.1,0.8
Uruguay,28,16,5,7,62,29,0.5714285714285714,2.2142857142857144,24,4,15,5,18,44,0.16666666666666666,0.75
Brazil,82,59,9,14,180,78,0.7195121951219512,2.1951219512195124,26,12,10,4,45,36,0.46153846153846156,1.7307692307692308
Paraguay,11,4,1,6,14,10,0.36363636363636365,1.2727272727272727,16,3,9,4,16,28,0.1875,1
Austria,13,10,2,1,31,17,0.7692307692307693,2.3846153846153846,16,2,11,3,12,30,0.125,0.75
Hungary,18,15,1,2,73,19,0.8333333333333334,4.055555555555555,14,0,13,1,14,38,0,1
Switzerland,12,7,2,3,22,16,0.5833333333333334,1.8333333333333333,22,4,15,3,23,44,0.18181818181818182,1.0454545454545454
Sweden,27,15,5,7,53,25,0.5555555555555556,1.962962962962963,19,1,12,6,21,44,0.05263157894736842,1.105263157894737
Germany,34,24,5,5,69,32,0.7058823529411765,2.0294117647058822,14,10,3,1,35,14,0.7142857142857143,2.5
Spain,30,16,7,7,50,30,0.5333333333333333,1.6666666666666667,29,13,11,5,42,36,0.4482758620689655,1.4482758620689655
Italy,57,38,5,14,99,41,0.6666666666666666,1.736842105263158,26,7,12,7,29,36,0.2692307692307692,1.1153846153846154
Czechoslovakia,10,9,0,1,27,8,0.9,2.7,20,2,14,4,17,37,0.1,0.85
Cuba,2,1,0,1,5,4,0.5,2.5,1,0,1,0,0,8,0,0
England,35,22,2,11,54,20,0.6285714285714286,1.542857142857143,27,4,14,9,25,36,0.14814814814814814,0.9259259259259259
Germany FR,43,29,1,13,99,36,0.6744186046511628,2.302325581395349,19,7,11,1,32,41,0.3684210526315789,1.6842105263157894
Turkey,2,2,0,0,10,0,1,5,8,3,4,1,10,17,0.375,1.25
Soviet Union,18,13,2,3,43,18,0.7222222222222222,2.388888888888889,13,2,8,3,10,16,0.15384615384615385,0.7692307692307693
Northern Ireland,5,3,2,0,5,6,0.6,1,8,0,3,5,8,17,0,1
Mexico,16,8,2,6,22,11,0.5,1.375,38,6,24,8,36,83,0.15789473684210525,0.9473684210526315
Wales,1,1,0,0,2,1,1,2,4,0,1,3,2,3,0,0.5
Portugal,16,12,3,1,36,13,0.75,2.25,10,1,6,3,7,16,0.1,0.7
Korea DPR,3,1,1,1,2,4,0.3333333333333333,0.6666666666666666,4,0,4,0,4,17,0,1
Peru,5,4,0,1,13,4,0.8,2.6,10,0,8,2,6,27,0,0.6
Belgium,18,11,4,3,27,16,0.6111111111111112,1.5,25,4,15,6,27,52,0.16,1.08
Bulgaria,7,2,2,3,11,10,0.2857142857142857,1.5714285714285714,19,1,13,5,11,43,0.05263157894736842,0.5789473684210527
German DR,3,2,1,0,3,2,0.6666666666666666,1,3,0,1,2,2,3,0,0.6666666666666666
Zaire,2,0,2,0,0,5,0,0,1,0,1,0,0,9,0,0
Poland,16,11,3,2,27,14,0.6875,1.6875,15,4,8,3,17,26,0.26666666666666666,1.1333333333333333
Australia,6,2,3,1,7,11,0.3333333333333333,1.1666666666666667,7,0,5,2,4,15,0,0.5714285714285714
Scotland,9,2,2,5,11,11,0.2222222222222222,1.2222222222222223,14,2,10,2,14,30,0.14285714285714285,1
Netherlands,32,18,4,10,51,21,0.5625,1.59375,22,11,7,4,40,28,0.5,1.8181818181818181
Haiti,1,0,1,0,0,7,0,0,2,0,2,0,2,7,0,1
Tunisia,4,1,1,2,6,6,0.25,1.5,8,0,6,2,2,11,0,0.25
Algeria,6,1,3,2,5,10,0.16666666666666666,0.8333333333333334,8,2,5,1,9,11,0.25,1.125
Honduras,5,0,4,1,2,8,0,0.4,4,0,2,2,1,6,0,0.25
Canada,1,0,1,0,0,1,0,0,2,0,2,0,0,4,0,0
Morocco,4,0,2,2,3,5,0,0.75,9,2,5,2,9,13,0.2222222222222222,1
Korea Republic,14,4,7,3,18,22,0.2857142857142857,1.2857142857142858,17,1,10,6,13,45,0.058823529411764705,0.7647058823529411
Iraq,2,0,2,0,1,3,0,0.5,1,0,1,0,0,1,0,0
Denmark,7,3,3,1,13,13,0.42857142857142855,1.8571428571428572,9,5,3,1,14,11,0.5555555555555556,1.5555555555555556
"rn"">United Arab Emirates",1,0,1,0,0,2,0,0,2,0,2,0,2,9,0,1
Costa Rica,7,1,2,4,7,10,0.14285714285714285,1,10,4,4,2,11,14,0.4,1.1
Cameroon,11,3,6,2,11,23,0.2727272727272727,1,12,1,6,5,7,20,0.08333333333333333,0.5833333333333334
"rn"">Republic of Ireland",5,0,0,5,2,2,0,0.4,8,2,3,3,8,8,0.25,1
Colombia,7,5,2,0,11,6,0.7142857142857143,1.5714285714285714,13,3,8,2,18,23,0.23076923076923078,1.3846153846153846
Norway,1,1,0,0,1,0,1,1,7,1,3,3,6,8,0.14285714285714285,0.8571428571428571
Nigeria,9,3,4,2,12,14,0.3333333333333333,1.3333333333333333,10,2,7,1,8,14,0.2,0.8
Saudi Arabia,6,1,5,0,3,13,0.16666666666666666,0.5,7,1,4,2,6,19,0.14285714285714285,0.8571428571428571
Bolivia,1,0,1,0,1,3,0,1,5,0,4,1,0,17,0,0
Russia,3,2,0,1,9,2,0.6666666666666666,3,6,0,5,1,4,11,0,0.6666666666666666
Greece,4,2,2,0,4,6,0.5,1,7,0,4,3,2,15,0,0.2857142857142857
Jamaica,1,0,1,0,1,3,0,1,2,1,1,0,2,6,0.5,1
South Africa,6,1,2,3,7,10,0.16666666666666666,1.1666666666666667,3,1,1,1,4,6,0.3333333333333333,1.3333333333333333
Japan,10,2,5,3,7,14,0.2,0.7,7,2,4,1,7,8,0.2857142857142857,1
Croatia,3,0,2,1,3,6,0,1,13,7,5,1,18,11,0.5384615384615384,1.3846153846153846
China PR,1,0,1,0,0,2,0,0,2,0,2,0,0,7,0,0
Senegal,2,0,1,1,3,4,0,1.5,3,2,0,1,4,2,0.6666666666666666,1.3333333333333333
Slovenia,3,0,2,1,3,6,0,1,3,1,2,0,2,4,0.3333333333333333,0.6666666666666666
Ecuador,4,2,1,1,4,3,0.5,1,6,2,4,0,6,8,0.3333333333333333,1
"rn"">Trinidad and Tobago",1,0,0,1,0,0,0,0,2,0,2,0,0,4,0,0
"rn"">Serbia and Montenegro",1,0,1,0,0,1,0,0,2,0,2,0,2,9,0,1
Angola,1,0,1,0,0,1,0,0,2,0,0,2,1,1,0,0.5
Czech Republic,2,0,2,0,0,4,0,0,1,1,0,0,3,0,1,3
Togo,2,0,2,0,0,4,0,0,1,0,1,0,1,2,0,1
Iran,1,0,0,1,1,1,0,1,5,1,4,0,4,11,0.2,0.8
Cï¿½te d'Ivoire,3,2,0,1,5,3,0.6666666666666666,1.6666666666666667,6,1,5,0,8,11,0.16666666666666666,1.3333333333333333
Ghana,4,1,2,1,4,5,0.25,1,8,3,3,2,9,11,0.375,1.125
Ukraine,1,1,0,0,1,0,1,1,4,1,2,1,4,7,0.25,1
Serbia,1,0,1,0,0,1,0,0,2,1,1,0,2,2,0.5,1
New Zealand,1,0,0,1,1,1,0,1,5,0,3,2,3,13,0,0.6
Slovakia,2,1,1,0,3,4,0.5,1.5,2,0,1,1,2,3,0,1
IR Iran,1,0,0,1,0,0,0,0,5,0,4,1,2,10,0,0.4
"rn"">Bosnia and Herzegovina",1,1,0,0,3,1,1,3,2,0,2,0,1,3,0,0.5
Egypt,0,0,0,0,0,0,NA,NA,4,0,2,2,3,6,0,0.75
Dutch East Indies,0,0,0,0,0,0,NA,NA,1,0,1,0,0,6,0,0
Israel,0,0,0,0,0,0,NA,NA,3,0,1,2,1,3,0,0.3333333333333333
El Salvador,0,0,0,0,0,0,NA,NA,6,0,6,0,1,22,0,0.16666666666666666
Kuwait,0,0,0,0,0,0,NA,NA,3,0,2,1,2,6,0,0.6666666666666666
